Unnamed: 0,FIPS,State,County,Deep_Pov_All,Median_HH_Inc_ACS,PerCapitaInc,Poverty_Rate_0_17_ACS,Poverty_Rate_ACS,NumCivEmployed,EconomicDependence2000,FarmDependent2003,Gas_Change,HiAmenity,HiCreativeClass2000,Hipov,LowEducation2000,Low_Education_2015_update,Low_Employment_2015_update,ManufacturingDependent2000,Metro2003,Metro2013,Metro_Adjacent2013,Micropolitan2003,Micropolitan2013,Noncore2003,Noncore2013,Nonmetro2003,Nonmetro2013,NonmetroAdj2003,NonmetroNotAdj2003,Oil_Change,Oil_Gas_Change,Perpov_1980_0711,PersistentChildPoverty2004,PersistentChildPoverty_1980_2011,PersistentPoverty2000,Population_loss_2015_update,RecreationDependent2000,RetirementDestination2000,Retirement_Destination_2015_Update,RuralUrbanContinuumCode2003,RuralUrbanContinuumCode2013,Type_2015_Farming_NO,Type_2015_Government_NO,Type_2015_Manufacturing_NO,Type_2015_Mining_NO,Type_2015_Nonspecialized_NO,Type_2015_Recreation_NO,Type_2015_Update,UrbanInfluenceCode2003,UrbanInfluenceCode2013,TotalPop2020,EmploymentRate
0,00000,US,United States,5.777384811,69021.0,37638.0,17.04670519,12.63185031,157510982.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,331449281.0,47.521895816090186
1,01000,AL,Alabama,7.077315889,54943.0,30458.0,22.26193645,15.78512663,2173597.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5024279.0,43.26186901643002
2,01001,AL,Autauga,6.2502163,62660.0,30968.0,18.67386389,13.57847378,25871.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,58805.0,43.994558285860045
3,01003,AL,Baldwin,4.043401319,64346.0,35384.0,11.29982166,9.204904993,104367.0,5.0,0.0,9.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,5.0,2.0,231767.0,45.031000962173216
4,01005,AL,Barbour,12.82696629,36422.0,21325.0,43.74401226,26.47191011,8561.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,6.0,6.0,25223.0,33.94124410260477
5,01007,AL,Bibb,9.076190476,54277.0,24787.0,28.04290718,16.94285714,8223.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,22293.0,36.88601803256628
6,01009,AL,Blount,5.291223017,52830.0,27309.0,17.28166827,13.23663049,24244.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,59134.0,40.99841038996178
7,01011,AL,Bullock,10.1937828,29063.0,21012.0,49.74805314,30.9345983,3818.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,6.0,6.0,10357.0,36.86395674423096
8,01013,AL,Butler,6.66136725,45236.0,23897.0,29.60556845,18.17700053,7567.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,6.0,19051.0,39.71969975329379
9,01015,AL,Calhoun,8.329655586,50977.0,26440.0,21.60229476,17.53843981,49073.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,2.0,2.0,116441.0,42.14409014007094
10,01017,AL,Chambers,5.091703057,47232.0,24840.0,25.33333333,15.0713246,15478.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,5.0,34772.0,44.51282641205568
11,01019,AL,Cherokee,5.073789487,43475.0,26867.0,18.80704734,14.97337074,9794.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,6.0,24971.0,39.22149693644628
12,01021,AL,Chilton,6.004524887,56243.0,26426.0,16.16829596,15.7239819,17690.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,45014.0,39.29888479139823
13,01023,AL,Choctaw,9.402523209,38581.0,25163.0,34.93740219,21.56629374,4563.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,9.0,9.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,10.0,10.0,12665.0,36.02842479273588
14,01025,AL,Clarke,10.55722302,44108.0,25263.0,29.8369672,21.90612902,7941.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,7.0,7.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,11.0,11.0,23087.0,34.39598042188244
15,01027,AL,Clay,5.59902376,45163.0,26255.0,22.67247153,16.92627952,5433.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,10.0,10.0,14236.0,38.163810059005336
